"CODALM";"CODPDT";"LOCALIZ";"SISVAL";"PVP1";"PRESTA";"PREULT";"PREMED";"CANEXI";"CODPRV";"STOCKMIN";"STOCKMAX"
"01";"22542-4-4";"ESTANTERIA RACO";"M";2,14000;0,00000;0,95700;0,95700;0,00;"00001";0,00;0,00
"01";"20542-4-4";;"M";1,72000;0,00000;0,00000;0,75127;0,00;;0,00;0,00
"01";"20592-4-4";"E";"M";1,98000;0,00000;0,81900;0,75793;0,00;"00001";0,00;0,00
"01";"22592-4-4";;"M";2,08000;0,00000;1,03000;1,03000;0,00;"00001";0,00;0,00
"01";"12510-4-6";;"M";1,17000;0,00000;0,61500;0,61500;0,00;"00001";0,00;0,00
"01";"20511-4-6";"ESTANTERIA RACO";"M";1,11000;0,00000;0,00000;0,54091;0,00;"00001";0,00;0,00
"01";"22592-4-6";;"M";3,60000;0,00000;1,11600;1,11600;0,00;"00001";0,00;0,00
"01";"20592-4-6";;"M";2,40000;0,00000;1,26800;1,26800;0,00;"00001";0,00;0,00
"01";"22511-4-6";"ESTANTERIA RACO";"M";1,12389;0,00000;0,61500;0,61500;0,00;"00001";0,00;0,00
"01";"22542-4-6";"ESTANTERIA RACO";"M";2,22000;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"20542-4-6";"ESTANTERIA RACO";"M";2,40000;0,00000;0,00000;1,32223;0,00;"00001";0,00;0,00
"01";"638-4-6";"ESTANTERIA RACO";"M";0,85344;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"00200-4-4";"ESTANTERIA RACO";"M";0,63106;0,00000;0,00000;0,26205;0,00;"00001";0,00;0,00
"01";"672-14-14";"050301";"M";1,00000;0,00000;0,00000;0,30022;17,00;"00001";10,00;20,00
"01";"22512-6-4";"ESTANTERIA RACO";"M";1,71288;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"20511-6-4";"ESTANTERIA RACO";"M";1,56000;0,00000;0,77700;0,77812;0,00;"00001";0,00;0,00
"01";"22592-6-4";"ESTANTERIA RACO";"M";2,87284;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"20591-6-4";"ESTANTERIA RACO";"M";3,06000;0,00000;0,00000;1,21404;0,00;"00001";0,00;0,00
"01";"20592-6-6";"ESTANTERIA RACO";"M";2,57233;0,00000;0,00000;0,91955;0,00;"00001";0,00;0,00
"01";"22542-6-6";"ESTANTERIA RACO";"M";2,64000;0,00000;0,00000;0,00000;0,00;;0,00;0,00
"01";"20542-6-6";"ESTANTERIA RACO";"M";2,12000;0,00000;0,00000;0,96162;0,00;"00001";0,00;0,00
"01";"22512-6-6";"ESTANTERIA RACO";"M";1,00000;0,00000;0,45500;0,00000;0,00;"00001";0,00;0,00
"01";"20511-6-6";"ESTANTERIA RACO";"M";1,00000;0,00000;0,52200;0,52200;0,00;"00001";0,00;0,00
"01";"12510-6-6";"ESTANTERIA RACO";"M";0,96000;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"10510-6-6";"ESTANTERIA RACO";"M";1,18000;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"10010-6-6";;"M";1,03374;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"728-06-06";"050805";"M";6,65000;0,00000;0,00000;2,65032;9,00;"00001";10,00;20,00
"01";"29910-6-17";"ESTANTERIA RACO";"M";2,02000;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"00200-6-6";"ESTANTERIA RACO";"M";0,72722;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"672-38-17";"050301";"M";1,28000;0,00000;0,00000;0,38438;1,00;"00001";5,00;10,00
"01";"638-6-8";;"M";1,31000;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"638-6-12";"ESTANTERIA RACO";"M";3,15000;0,00000;0,00000;0,00000;0,00;;0,00;0,00
"01";"TMG-06-06";"050704";"M";0,81000;0,00000;0,28500;0,28446;39,00;"00001";10,00;20,00
"01";"2910-6-8";"ESTANTERIA RACO";"M";4,58572;0,00000;0,00000;0,00000;0,00;;0,00;0,00
"01";"20542-6-8";"ESTANTERIA RACO";"M";2,88000;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"22542-6-8";"ESTANTERIA RACO";"M";3,12000;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"20592-6-8";"ESTANTERIA RACO";"M";2,94000;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"22592-6-8";"ESTANTERIA RACO";"M";2,96000;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"12512-6-8";"ESTANTERIA RACO";"M";1,19601;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"10510-6-8";"ESTANTERIA RACO";"M";1,72000;0,00000;0,00000;0,78733;0,00;"00001";0,00;0,00
"01";"20511-6-8";"ESTANTERIA RACO";"M";1,38000;0,00000;0,68500;0,67013;0,00;;0,00;0,00
"01";"22512-6-8";"ESTANTERIA RACO";"M";1,79703;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"728-08-08";"050805";"M";9,60000;0,00000;0,00000;2,88000;18,00;"00001";10,00;20,00
"01";"2310-8-8";;"M";3,94865;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"29910-8-21";;"M";4,58572;0,00000;0,00000;0,01350;-10,00;"00001";0,00;0,00
"01";"10010-8-8";;"M";1,20000;0,00000;0,43200;0,40645;0,00;"00001";0,00;0,00
"01";"683-8-8";"E";"M";4,02678;0,00000;0,00000;0,00000;2,00;"00001";0,00;0,00
"01";"10510-8-8";;"M";1,74000;0,00000;0,91700;0,86112;0,00;"00001";0,00;0,00
"01";"12510-8-8";"ESTANTERIA RACO";"M";1,38000;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"23390-8-8";;"M";5,60744;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"20512-8-8";"ESTANTERIA RACO";"M";2,39203;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"22512-8-8";"ESTANTERIA RACO";"M";1,83000;0,00000;0,79000;0,00000;0,00;"00001";0,00;0,00
"01";"20542-8-8";"ESTANTERIA RACO";"M";2,88000;0,00000;0,00000;1,29218;0,00;"00001";0,00;0,00
"01";"22542-8-8";;"M";3,70000;0,00000;1,83400;1,83400;0,00;"00001";0,00;0,00
"01";"23340-8-8";;"M";4,95835;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"20592-8-8";"ESTANTERIA RACO";"M";3,00000;0,00000;1,37500;1,32591;0,00;"00001";0,00;0,00
"01";"22592-8-8";"ESTANTERIA RACO";"M";3,56000;0,00000;1,75000;1,75000;0,00;"00001";0,00;0,00
"01";"22591-8-10";"ESTANTERIA RACO";"M";3,42000;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"20592-8-10";;"M";5,28000;0,00000;0,00000;1,97132;0,00;;0,00;0,00
"01";"22512-8-10";"ESTANTERIA RACO";"M";1,96000;0,00000;0,89200;0,89200;0,00;"00001";0,00;0,00
"01";"20511-8-10";"ESTANTERIA RACO";"M";3,03000;0,00000;0,00000;1,15394;0,00;"00001";0,00;0,00
"01";"10510-8-10";"ESTANTERIA RACO";"M";3,40000;0,00000;0,00000;1,38233;-1,00;"00001";0,00;0,00
"01";"12510-8-10";"ESTANTERIA RACO";"M";1,71000;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"00200-8-8";"ESTANTERIA RACO";"M";1,04576;0,00000;0,00000;0,40268;0,00;"00001";0,00;0,00
"01";"638-10-12";"050303";"M";2,48819;0,00000;0,73300;0,86488;12,00;"00001";10,00;15,00
"01";"10010-10-10";"050408";"M";1,53258;0,00000;0,00000;1,10195;8,00;"00001";10,00;20,00
"01";"22512-10-10";"ESTANTERIA RACO";"M";2,46000;0,00000;0,00000;0,00000;0,00;"00001";0,00;0,00
"01";"20511-10-10";"050101";"M";2,54000;0,00000;0,00000;0,99471;29,00;"00001";10,00;25,00
"01";"639-10-10";"050302";"M";1,19601;0,00000;1,17330;1,13412;34,00;"00001";20,00;40,00
"01";"20542-10-10";"ESTANTERIA RACO";"M";4,44000;0,00000;0,00000;2,13960;0,00;"00001";0,00;0,00
"01";"22542-10-10";;"M";4,46000;0,00000;0,00000;4,15000;0,00;"00001";0,00;0,00
"01";"00200-10-10";"ESTANTERIA RACO";"M";1,29218;0,00000;0,00000;0,59500;0,00;"00001";0,00;0,00
"01";"20592-10-10";;"M";4,23000;0,00000;0,00000;1,95329;0,00;"00001";0,00;0,00
"01";"22592-10-10";;"M";4,44000;0,00000;1,93200;1,93250;0,00;"00001";0,00;0,00
"01";"22592-12-12";"050701";"M";6,63000;0,00000;0,00000;2,96850;19,00;"00001";4,00;10,00
"01";"20592-12-12";"050205";"M";6,43000;0,00000;2,18140;2,22814;13,00;"00001";4,00;8,00
