"CODPDT";"DESPDT";"CODBAR";"CODFAM"
"22542-4-4";"ESPIGA 45º T.L. JIC 1/4";;"1200"
"20542-4-4";"ESPIGA 45º T.L. BSP 1/4";;"1110"
"20592-4-4";"ESPIGA 90º T.L. BSP 1/4";;"1110"
"22592-4-4";"ESPIGA 90º T.L. JIC 1/4";;"1200"
"12510-4-6";"ESPIGA RECTA  JIC 1/4-3/8";;"1200"
"20511-4-6";"ESPIGA RECTA T.L. BSP 1/4-3/8";;"1110"
"22592-4-6";"ESPIGA 90º T.L. JIC 1-4-3/8";;"1200"
"20592-4-6";"ESPIGA 90º T.L. BSP 1/4-3/8";;"1110"
"22511-4-6";"ESPIGA RECTA T.L. JIC 1/4-3/8";;"1200"
"22542-4-6";"ESPIGA 45º T.L. JIC 1/4-3/8";;"1200"
"20542-4-6";"ESPIGA 45º T.L. BSP 1/4-3/8";;"1110"
"638-4-6";"ADAPTADOR MACHO-MACHO 1/4-3/8";;"1400"
"00200-4-4";"CASQUILLO 1/4";;"1310"
"672-14-14";"TORNILLO HUECO BSP";;"1831"
"22512-6-4";"ESPIGA RECTA T.L. JIC 3/8-1/4";;"1200"
"20511-6-4";"ESPIGA RECTA T.L. BSP 3/8-1/4";;"1110"
"22592-6-4";"ESPIGA 90º T.L. JIC 3/8-1/4";;"1200"
"20591-6-4";"ESPIGA 90º T.L. BSP 3/8-1/4";;"1110"
"20592-6-6";"ESPIGA 90º T.L. BSP 3/8";;"1110"
"22542-6-6";"ESPIGA 45º T.L. JIC 3/8";;"1200"
"20542-6-6";"ESPIGA 45º T.L. BSP 3/8";;"1110"
"22512-6-6";"ESPIGA RECTA T.L. JIC 3/8";;"1200"
"20511-6-6";"ESPIGA RECTA T.L. BSP 3/8";;"1110"
"12510-06-06";"ESPIGA RECTA  JIC 3/8";;"1200"
"10510-06-06";"ESPIGA RECTA BSP 3/8";;"1110"
"10010-6-6";"ESPIGA SOLDABLE 3/8";;"1390"
"728-06-06";"CODO ORIENTEBLE BSP-JIC";;"1640"
"29910-06-17";"ORIENTABLE 3/8";;"1801"
"200-06";"CASQUILLO R2A 3/8";;"1310"
"672-38-17";"TORNILLO HUECO BSP";;"1831"
"638-06-08";"ADAPTADOR MACHO-MACHO 3/8-1/2";;"1400"
"638-06-12";"ADAPTADOR MACHO-MACHO 3/8-3/4";;"1400"
"TMG-06-06";"TAPON MACHO 3/8";;"1470"
"20542-06-08";"ESPIGA 45º T.L. BSP 3/8-1/2";;"1110"
"22542-06-08";"ESPIGA 45º T.L. JIC 3/8-1/2";;"1200"
"20592-06-08";"ESPIGA 90º T.L. BSP 3/8-1/2";;"1110"
"22592-6-8";"ESPIGA 90º T.L. JIC 3/8-1/2";;"1200"
"12512-6-8";"ESPIGA RECTA JIC 3/8-1/2";;"1200"
"10510-6-8";"ESPIGA RECTA BSP 3/8-1/2";;"1110"
"20511-6-8";"ESPIGA RECTA T.L. BSP 3/8-1/2";;"1110"
"22512-6-8";"ESPIGA RECTA T.L. JIC 3/8-1/2";;"1200"
"728-08-08";"CODO ORIENTABLE BSP-JIC";;"1640"
"2310-8-8";"BRIDA 3000 PSI 1/2";;"1500"
"29910-8-21";"ORIENTABLE 1/2";;"1801"
"10010-8-8";"ESPIGA SOLDABLE 1/2";;"1390"
"683-8-8";"HEMBRA-LOCA DOBLE BSP";;"1440"
"10510-8-8";"ESPIGA RECTA BSP 1/2";;"1110"
"12510-8-8";"ESPIGA RECTA JIC 1/2";;"1200"
"23390-8-8";"BRIDA 90º 1/2";;"1500"
"20512-8-8";"ESPIGA RECTA T.L. BSP 1/2";;"1110"
"22512-8-8";"ESPIGA RECTA T.L. JIC 1/2";;"1200"
"20542-8-8";"ESPIGA 45º T.L. BSP 1/2";;"1110"
"22542-8-8";"ESPIGA 45º T.L. JIC 1/2";;"1200"
"23340-8-8";"BRIDA 45º 1/2";;"1500"
"20592-8-8";"ESPIGA 90º T.L. BSP 1/2";;"1110"
"22592-8-8";"ESPIGA 90º T.L. JIC 1/2";;"1200"
"22591-8-10";"ESPIGA 90º T.L. JIC 1/2-5/8";;"1200"
"20592-8-10";"ESPIGA 90º T.L. BSP 1/2-5/8";;"1110"
"22512-8-10";"ESPIGA RECTA T.L. JIC 1/2-5/8";;"1200"
"20511-8-10";"ESPIGA RECTA T.L. BSP 1/2-5/8";;"1110"
"10510-8-10";"ESPIGA RECTA  BSP 1/2-5/8";;"1110"
"12510-8-10";"ESPIGA RECTA  JIC 1/2-5/8";;"1200"
"00200-8-8";"CASQUILLO 1/2";;"1310"
"638-10-12";"ADAPTADOR MACHO-MACHO 5/8-3/4";;"1400"
"10010-10-10";"ESPIGA SOLDABLE 5/8";;"1390"
"22512-10-10";"ESPIGA RECTA T.L. JIC 5/8";;"1200"
"20511-10-10";"ESPIGA RECTA T.L. BSP 5/8";;"1110"
"639-10-10";"ADAPTADOR MACHO-MACHO 5/8";;"1410"
"20542-10-10";"ESPIGA 45º T.L. BSP 5/8";;"1110"
"22542-10-10";"ESPIGA 45º T.L. JIC 5/8";;"1200"
"00200-10-10";"CASQUILLO 5/8";;"1310"
"20592-10-10";"ESPIGA 90º T.L. BSP 5/8";;"1110"
"22592-10-10";"ESPIGA 90º T.L. JIC 5/8";;"1200"
"22592-12-12";"ESPIGA 90º T.L. JIC 3/4";;"1200"
"20592-12-12";"ESPIGA 90º T.L. BSP 3/4";;"1110"
"20542-12-12";"ESPIGA 45º T.L. BSP 3/4";;"1110"
"22542-12-12";"ESPIGA 45º T.L. JIC 3/4";;"1200"
"25512-12-12";"MULTIESPIGA RECTA T.L. BSP 3/4";;"1110"
"22512-12-12";"ESPIGA RECTA T.L. JIC 3/4";;"1200"
"20512-12-12";"ESPIGA RECTA T.L. BSP 3/4";;"1110"
"12510-12-12";"ESPIGA RECTA  JIC 3/4";;"1200"
"10510-12-12";"ESPIGA RECTA T.L. BSP 3/4";;"1110"
"23390-12-12";"BRIDA 90º 3/4";;"1500"
"23340-12-12";"BRIDA 45º T.L. 3/4";;"1500"
"639-12-12";"ADAPTADOR MACHO-MACHO 3/4";;"1410"
"00200-12-12";"CASQUILLO R2 3/4";;"1310"
"009900-12-12";"CASQUILLO R9 3/4";;"1370"
"10010-12-12";"ESPIGA SOLDABLE 3/4";;"1390"
"23310-12-12";"BRIDA RECTA 3/4";;"1500"
"15510-12-12";"MULTIESPIGA RECTA BSP 3/4";;"1110"
"2910-12-26";"ORIENTABLE 3/4";;"1801"
"634-12-25";"HEMBRA BSP A SOLDADURA";;"1460"
"683-12-12";"HEMBRA LOCA DOBLE BSP";;"1440"
"672-34-27";"TORNILLO HUECO BSP";;"1831"
"TMG-12";"TAPON MACHO 3/4";;"1470"
"20511-10-12";"ESPIGA RECTA T.L. BSP  5/8-3/4";;"1110"
"THG-12";"TAPON HEMBRA 3/4";;"1480"
"7620-12-12";"ENCHUFE RAPIDO COMPLETO";;"1700"
"654-12-12";"T.  MACHO ESTAMPACION BSP";;"1420"
"638-12-20";"ADAPTADOR MACHO-MACHO 3/4-1.1/4";;"1400"
"638-12-16";"ADAPTADOR MACHO-MACHO 3/4-1";;"1400"
"10510-10-12";"ESPIGA RECTA BSP 5/8-3/4";;"1110"
"20512-12-16";"ESPIGA RECTA T.L. BSP 3/4-1";;"1110"
"17510-10-12";"ESPIGA RECTA JIC 5/8-3/4";;"1200"
"22512-12-16";"ESPIGA RECTA T.L. JIC 3/4-1";;"1200"
"22541-10-12";"ESPIGA 45º T.L. JIC 5/8";;"1200"
"20541-10-12";"ESPIGA 45º T.L. BSP 5/8-3/4";;"1110"
"22591-10-12";"ESPIGA 90º T.L. JIC 5/8";;"1200"
"20591-10-12";"ESPIGA 90º T.L. BSP 5/8-3/4";;"1110"
"22592-16-16";"ESPIGA 90º T.L. JIC 1""";;"1200"
"20592-16-16";"ESPIGA 90º T.L. BSP 1""";;"1110"
"23390-16-16";"BRIDA 90º T.L. 1""";;"1500"
"23340-16-16";"BRIDA 45º T.L. 1""";;"1500"
"23310-16-16";"BRIDA RECTA 1""";;"1500"
"22542-16-16";"ESPIGA 45º T.L. JIC 1""";;"1200"
"9900-16";"CASQUILLO R9 1""";;"1370"
"22512-16-16";"ESPIGA RECTA T.L. JIC 1""";;"1200"
"20512-16-16";"ESPIGA RECTA T.L. BSP 1""";;"1110"
"00200-16-16";"CASQUILLO 1""";;"1310"
"634-16-25";"HEMBRA BSP A SOLDADURA";;"1460"
"12510-16-16";"ESPIGA RECTA JIC 1""";;"1200"
"10510-16-16";"ESPIGA RECTA BSP 1""";;"1110"
"632-25-16";"MACHO BSP A SOLDADURA";;"1450"
"639-16-16";"ADAPTADOR MACHO-MACHO 1""";;"1410"
"10010-16";"ESPIGA SOLDABLE R2A 1""";;"1390"
"638-16-20";"ADAPTADOR MACHO MACHO 1-1.1/4";;"1400"
"20592-16-20";"ESPIGA 90º T.L. BSP 1 - 1-1/4";;"1110"
"20512-20-20";"ESPIGA RECTA T.L. BSP 1-1/4";;"1110"
"10010-20-20";"ESPIGA SOLDABLE 1-1/4";;"1390"
"20592-20-20";"ESPIGA 90º T.L. BSP 1-1/4";;"1110"
"697-4-4";"ARANDELA METAL GOMA 1/4";;"1870"
"697-6-6";"ARANDELA METAL GOMA 3/8";;"1870"
"697-8-8";"ARANDELA METAL GOMA 1/2";;"1870"
"697-12-12";"ARANDELA METAL GOMA 3/4";;"1870"
"697-16-16";"ARANDELA METAL GOMA 1""";;"1870"
"697-20-20";"ARANDELA METAL GOMA 1.1/4";;"1870"
"697-24-24";"ARANDELA METAL GOMA 1.1/2";;"1870"
"7M8485";"TORICA";;"4712"
"5P9186";"TORICA";;"4715"
"7G3737";"JUNTA DE CORCHO";;"4706"
"6K2430";"RETEN BALANCIN TRASERO";;"4710"
"4V5098";"SOPORTE BALANCIN";;"4721"
"3P3461";"JUNTA";;"4715"
"4F7389";"TORICA NITRILO";;"4705"
"4F8946";"TORICA NITRILO";;"4705"
"1H8171";"TORICA NITRILO";;"4707"
"4H6112";"RESPIRADERO DE BOMBA FRENO";;"4707"
"7F8262";"JUNTA";;"4705"
"3H1461";"TORICA NITRILO";;"4707"
"5P3456";"TORICA";;"4715"
"1H9696";"TORICA NITRILO";;"4707"
"1J2176";"TORICA NITRILO";;"4709"
"1P3707";"RETEN";;"4715"
"7F8267";"TORICA NITRILO";;"4705"
"8T4977";"RETEN";;"4719"
"5H6734";"TORICA NITRILO";;"4707"
"2H9247";"TORICA NITRILO";;"4707"
"8H7521";"TORICA NITRILO";;"4707"
"4D1577";"TORICA NITRILO";;"4703"
"2S4750";"JUNTA";;"4718"
"2H3088";"TORICA NITRILO";;"4707"
"8T8957";"JUNTA";;"4719"
"3S9896";"JUNTA PASA 8T7276";;"4718"
"4L9564";"TORICA NITRILO";;"4711"
"6H7201";"SEGMENTO TRANSMISION";;"4707"
"6Y1861";"DISCOS DE FRICCION QUE PASA DE 9P1861";;"4723"
"9P7390";"DISCOS DE FRICCION";;"4715"
"6Y5911";"DISCOS DE FRICCION QUE PASA 7G3129";;"4723"
"8P2053";"SEGMENTO";;"4715"
"8D9739";"JUNTA";;"4703"
"8P2051";"DISCO DE ACERO    PASA 6Y1320";;"4715"
