"CODFAM";"DESFAM"
"1";"HIDRAULICA"
"11";"RACORES BSP"
"111";"RACORES BSP"
"10";"MANGUERAS"
"12";"RACORES JIC"
"13";"CASQUILLOS"
"14";"ADAPTADORES"
"15";"BRIDAS"
"16";"CODOS"
"17";"ENCHUFES RAP. VALVULAS"
"18";"ORIENTABLES/TORNILLOS HUECOS"
"19";"VARIOS"
"100";"MANGUERA SAE 100 R1A"
"1110";"RACORES BSP"
"1000";"MANGUERA SAE 100 R1A"
"101";"MANGUERA SAE 100 R1T"
"1010";"MANGUERA SAE 100  R1T"
"102";"MANGUERA SAE 100 R2A"
"1020";"MANGUERA SAE 100 R2A"
"103";"MANGUERA SAE 100 R2T"
"1030";"MANGUERA SAE 100R2T"
"104";"MANGUERA SAE 100 R5"
"1040";"MANGUERA SAE 100 R5"
"105";"MANGUERA SAE 100 R9R"
"1050";"MANGUERA SAE 100 R9R"
"106";"MANGUERA SAE 100 R12"
"1060";"MANGUERA SAE 100 R12"
"120";"RACORES JIC"
"1200";"RACORES JIC"
"130";"CASQUILLO R1A"
"1300";"CASQUILLO R1A"
"131";"CASQUILLO R2A"
"1310";"CASQUILLO R2A"
"132";"CASQUILLO R5"
"1320";"CASQUILLO R5"
"133";"CASQUILLO R7 Y R8"
"1330";"CASQUILLO R7 Y R8"
"134";"CASQUILLO TEFLON"
"1340";"CASQUILLO TEFLON"
"135";"CASQUILLO TEFLON CORRUGADO"
"1350";"CASQUILLO TEFLON CORRUGADO"
"136";"CASQUILLO R1AT Y R2AT"
"1360";"CASQUILLO R1AT Y R2AT"
"137";"CASQUILLO R9R PESASDA"
"1370";"CASQUILLO R9R PESADA"
"138";"CASQUILLO 4SH O R10"
"1380";"CASQUILLO 4SH O R10"
"180";"ORIENTABLE ESPIGAS"
"1801";"ORIENTABLE ESPIGA"
"139";"VARIOS"
"181";"ORIENTABLE A SOLDADURA"
"1811";"ORIENTABLE A SOLDADURA"
"140";"REDUCCION  MACHO MACHO"
"1400";"REDUCCION MACHO MACHO BSP"
"182";"ORIENTABLE ROSCA BSP"
"1821";"ORIENTABLE ROSCA BSP"
"183";"TORNILLO HUECO BSP"
"1831";"TORNILLO HUECO BSP"
"141";"ADAPTADOR DOBLE MACHO"
"184";"TORNILLO HUECO DOBLE"
"1841";"TORNILLO HUECO DOBLE"
"1410";"ADAPTADOR DOBLE MACHO BSP"
"185";"TORNILLO HUECO PROLONGACION"
"1851";"TORNILLO HUECO PROLONGACION"
"186";"ARANDELA COBRE"
"1860";"ARANDELA COBRE"
"187";"ARANDELA METAL GOMA"
"1870";"ARANDELAS  ENGOMADAS"
"142";"ADAPTADOR T MACHO"
"1420";"ADPTADOR T MACHO BSP"
"143";"ADAPTADOR MACHO HEMBRA LOCA"
"1430";"ADAPTADOR MACHO HEMBRA LOCA"
"144";"ADAPTADOR HEMBRA LOCA HEMBRA LOCA"
"1440";"ADAPTADOR HEMBRA LOCA HEMBRA LOCA"
